,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Highwaya,5706240,5937942,6002985,6176897,6211806,6218364,6223214,6250563,6278181,6284828,6287055,6296117,6308068,6350265,6286564,6304192,6334735,6354229,6383439,6395705,6407622,6430351,6464318,6489078,6506221,6518997,6545326,6562512,6586610,6623194,6722348
1,"Class I railb,c",333672,321544,316202,308222,265255,234584,192732,187691,181946,177712,175953,174234,170235,164359,161852,160017,159727,157421,161136,159528,157172,153956,152567,151782,151410,151151,153810,153510,153517,153266,151877
2,Amtrakc,N,N,N,N,38624,38624,38624,40234,40234,40234,40234,38624,40234,40234,35406,37015,37015,37015,37015,36492,35818,35417,34936,34936,34083,34083,34083,34158,34334,34369,34369
3,Transitd,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
4,Commuter railc,N,N,N,N,N,5752,6649,6498,6457,6583,6583,6695,5926,7109,8324,8354,8383,8382,10993,10959,11065,11455,11220,11483,11685,12169,12280,12193,12427,12442,12545
5,Heavy rail,N,N,N,N,N,2081,2174,2203,2258,2336,2342,2346,2379,2457,2457,2478,2507,2530,2530,2571,2569,2610,2613,2613,2613,2613,2603,2603,2610,2610,2610
6,Light raile,N,N,N,N,N,618,777,887,898,865,904,913,1027,1060,1087,1290,1343,1444,1544,1603,1910,1912,2060,2158,2249,2377,2409,2801,2775,2955,3021
7,Navigable channelsf,40234,40234,40234,40234,40234,40234,40234,40234,40234,40234,40234,40234,40234,40234,40234,40234,40234,40234,40234,40234,40234,40234,40234,40234,40234,40234,40234,40234,40234,40234,40234
8,"Oil pipelineg,h",U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,254675,259088,257316,268228,268374,268308,273341,279686,283188,292878,295443,299694,"(R) 309,646",321310
9,Gas pipelinei,U,U,U,U,U,"(R) 2,116,315","(R) 2,489,583","(R) 2,511,595","(R) 2,472,567","(R) 2,595,828","(R) 2,798,894","(R) 2,736,607","(R) 2,727,717","(R) 2,791,315","(R) 2,926,084","(R) 2,840,048","(R) 2,877,668","(R) 2,958,552","(R) 3,057,504","(R) 3,013,896","(R) 3,099,191","(R) 3,158,098","(R) 3,254,782","(R) 3,260,024","(R) 3,339,621","(R) 3,358,125","(R) 3,383,103","(R) 3,413,219","(R) 3,440,077","(R) 3,459,123",3490317
