, STATE,STATE HIGHWAY AGENCY-OWNED ROADWAY SYSTEM MEASURES (4),RURAL,URBAN,RURAL AND URBAN, MILES, LANE- MILES (6), DVMT (7), AADT/ LANE (8),PERCENT OF STATEWIDE TOTAL RURAL (5), MILES.1, LANE- MILES (6).1, DVMT (7).1, AADT/ LANE (8).1,PERCENT OF STATEWIDE TOTAL URBAN (5), MILES.2, LANE- MILES (6).2, DVMT (7).2, AADT/ LANE (8).2,PERCENT OF STATEWIDE TOTAL (5), MILES.3,LANE- MILES, DVMT, MILES.4,LANE- MILES.1, DVMT.1, MILES.5,LANE- MILES.2, DVMT.2
0,Alabama,8362,20442,45596,2231,11.0,13.2,58.8,2558,9126,56084,6146,9.8,15.8,52.5,10920,29568,101680,3439,10.7,13.9,55.2,,,,,,,
1,Alaska,4917,10187,4146,407,37.0,37.8,71.2,694,1719,5930,3450,24.5,28.4,74.1,5611,11906,10076,846,34.8,36.1,72.9,,,,,,,
2,Arizona,5577,14158,32686,2309,14.0,17.1,76.5,1245,5454,50334,9228,4.7,8.9,37.1,6822,19612,83021,4233,10.3,13.6,46.6,,,,,,,
3,Arkansas,14082,30622,36493,1192,16.5,17.7,79.0,2341,7018,33725,4806,13.7,19.0,68.3,16423,37640,70218,1866,16.0,17.9,73.4,,,,,,,
4,California,10407,26704,100786,3774,12.1,14.9,68.5,4686,24982,400961,16050,4.3,9.9,51.9,15093,51686,501747,9708,7.7,12.0,54.6,,,,,,,
5,Colorado,7538,17158,29709,1732,11.0,12.4,73.7,1523,5771,54143,9383,7.4,12.5,55.3,9061,22928,83852,3657,10.2,12.4,60.7,,,,,,,
6,Connecticut,1170,2517,6400,2543,20.6,21.8,74.0,2550,7315,58870,8048,16.1,21.3,75.6,3720,9832,65271,6638,17.3,21.5,75.4,,,,,,,
7,Delaware,2845,5936,6583,1109,94.5,94.7,80.1,2558,5923,16424,2773,75.1,77.7,86.5,5402,11859,23007,1940,84.2,85.4,84.6,,,,,,,
8,Dist. of Columbia,-,-,-,-,-,-,-,1374,3138,6961,2219,91.2,91.3,71.4,1374,3138,6961,2219,91.2,91.3,71.4,,,,,,,
9,Florida,5643,15748,60344,3832,15.5,20.3,66.5,6473,28011,247977,8853,7.5,14.3,52.1,12116,43759,308321,7046,9.9,16.0,54.4,,,,,,,
10,Georgia,12588,30189,58323,1932,16.2,18.8,74.5,5361,18884,135799,7191,10.6,17.0,55.4,17949,49074,194122,3956,14.0,18.1,60.0,,,,,,,
11,Hawaii,483,968,2500,2581,29.0,29.0,51.5,459,1518,13155,8663,16.5,23.7,56.3,942,2487,15655,6295,21.2,25.5,55.5,,,,,,,
12,Idaho,4597,10937,16377,1497,10.2,11.9,62.7,395,1405,8497,6048,6.7,11.1,43.5,4992,12341,24873,2015,9.8,11.8,54.5,,,,,,,
13,Illinois,10432,23982,47765,1992,10.8,12.3,69.7,5535,18253,109258,5986,11.1,16.5,49.7,15967,42235,157023,3718,10.9,13.8,54.5,,,,,,,
14,Indiana,8794,20733,50215,2422,13.3,15.2,64.9,2374,8037,53966,6715,7.9,12.2,38.9,11169,28769,104181,3621,11.6,14.2,48.2,,,,,,,
15,Iowa,7828,18953,37183,1962,7.7,9.1,70.4,1051,3786,18866,4983,8.4,13.8,49.6,8880,22739,56049,2465,7.8,9.7,61.7,,,,,,,
16,Kansas,9480,21015,25862,1231,7.5,8.2,63.0,812,2981,18510,6209,5.9,9.6,41.2,10292,23996,44372,1849,7.3,8.4,51.6,,,,,,,
17,Kentucky,24518,52885,56914,1076,37.8,39.6,79.5,3118,9102,49174,5403,20.7,27.5,79.6,27636,61987,106088,1711,34.6,37.2,79.6,,,,,,,
18,Louisiana,12963,28544,41121,1441,29.6,31.6,81.0,3726,10789,64331,5963,21.2,27.1,79.2,16689,39332,105452,2681,27.2,30.2,79.9,,,,,,,
19,Maine,7395,15323,19453,1269,37.1,37.7,67.3,963,2225,9185,4129,32.1,35.0,82.2,8358,17548,28638,1632,36.5,37.4,71.4,,,,,,,
20,Maryland,2659,6104,19427,3183,19.8,22.0,68.4,2495,8659,83004,9586,13.4,20.3,64.3,5154,14763,102432,6939,16.1,21.0,65.0,,,,,,,
21,Massachusetts,564,1317,4355,3307,8.9,10.2,56.3,2381,7985,82697,10356,7.9,12.5,53.5,2945,9302,87052,9358,8.1,12.1,53.6,,,,,,,
22,Michigan,6853,16067,45605,2838,8.1,9.4,57.2,2815,11377,95279,8375,7.4,13.2,50.6,9668,27444,140885,5134,7.9,10.7,52.6,,,,,,,
23,Minnesota,10257,23464,40066,1708,8.8,9.9,62.4,1554,5796,50721,8751,7.0,11.9,54.5,11811,29260,90787,3103,8.5,10.3,57.7,,,,,,,
24,Mississippi,9499,23299,40143,1723,14.9,17.6,66.1,1402,4776,25704,5382,10.9,16.8,52.9,10901,28075,65846,2345,14.2,17.5,60.2,,,,,,,
25,Missouri,30762,65811,62769,954,28.7,30.1,77.8,3110,10478,70972,6774,12.8,19.3,61.0,33873,76289,133741,1753,25.7,27.9,67.9,,,,,,,
26,Montana,10502,23607,18010,763,14.8,16.4,77.1,512,1518,5513,3630,12.2,17.0,52.7,11014,25125,23523,936,14.7,16.4,69.5,,,,,,,
27,Nebraska,9491,20737,24992,1205,10.9,11.8,80.1,450,1771,10823,6110,6.3,11.3,45.3,9941,22508,35816,1591,10.5,11.7,65.0,,,,,,,
28,Nevada,4664,10717,11561,1079,13.6,15.3,84.2,717,2880,23502,8159,7.4,12.5,41.0,5380,13598,35064,2579,12.3,14.6,49.4,,,,,,,
29,New Hampshire,3186,6699,11398,1701,28.7,29.8,80.5,717,1705,9752,5719,14.2,15.9,44.9,3902,8405,21150,2516,24.2,25.3,59.0,,,,,,,
30,New Jersey,352,925,5589,6040,6.2,7.9,42.2,1988,7629,77129,10109,6.0,10.4,39.9,2340,8555,82718,9669,6.0,10.0,40.0,,,,,,,
31,New Mexico,11007,26197,27944,1067,18.1,20.9,65.7,969,3307,16069,4860,11.6,17.4,49.3,11976,29504,44014,1492,17.3,20.4,58.6,,,,,,,
32,New York,9617,21217,35763,1686,14.9,16.1,42.3,5433,17103,124256,7265,10.9,15.5,47.1,15049,38320,160019,4176,13.2,15.9,45.9,,,,,,,
33,North Carolina,59229,122574,72228,589,90.4,90.7,70.1,20330,49114,155078,3158,49.8,54.0,76.2,79559,171687,227306,1324,74.8,75.9,74.2,,,,,,,
34,North Dakota,7184,16432,14186,863,8.5,9.5,71.0,223,785,3242,4129,10.5,16.8,43.1,7406,17217,17428,1012,8.5,9.7,63.4,,,,,,,
35,Ohio,13555,30400,61448,2021,18.0,19.6,66.4,5673,19016,122525,6443,12.0,17.7,56.0,19228,49416,183974,3723,15.6,18.8,59.1,,,,,,,
36,Oklahoma,10851,25003,38449,1538,11.4,12.9,66.3,1406,5352,31605,5905,7.8,13.2,43.5,12257,30356,70054,2308,10.9,13.0,53.6,,,,,,,
37,Oregon,6431,14589,25670,1760,11.0,12.3,65.5,1230,4005,31467,7857,8.3,12.5,52.9,7661,18594,57137,3073,10.4,12.3,57.9,,,,,,,
38,Pennsylvania,28522,60405,69006,1142,39.3,40.6,71.2,11234,27893,130277,4671,23.6,27.5,72.5,39756,88297,199283,2257,33.1,35.3,72.1,,,,,,,
39,Rhode Island,374,837,2231,2666,27.5,29.8,91.7,717,2011,14388,7153,15.3,20.2,75.6,1091,2848,16619,5835,18.0,22.3,77.4,,,,,,,
40,South Carolina,29792,62736,55630,887,51.6,52.9,86.0,11567,27728,70054,2526,62.3,66.2,90.9,41359,90465,125684,1389,54.2,56.4,88.7,,,,,,,
41,South Dakota,7507,16984,13697,806,9.5,10.6,76.8,259,937,3422,3652,7.7,12.6,44.4,7766,17921,17119,955,9.4,10.7,67.0,,,,,,,
42,Tennessee,10028,23789,52630,2212,15.6,18.0,75.4,3851,13431,89991,6700,12.3,19.1,64.1,13878,37220,142620,3832,14.5,18.4,67.9,,,,,,,
43,Texas,64729,144138,170190,1181,31.5,33.9,90.2,15694,51618,341620,6618,14.5,20.4,65.9,80423,195756,511809,2615,25.6,28.9,72.4,,,,,,,
44,Utah,4685,11270,16907,1500,13.3,15.6,74.5,1186,4857,36862,7589,10.7,19.3,63.1,5871,16127,53769,3334,12.7,16.5,66.3,,,,,,,
45,Vermont,2377,5320,9730,1829,18.6,20.3,68.3,252,683,3085,4518,17.2,21.9,53.2,2629,6003,12816,2135,18.4,20.5,64.0,,,,,,,
46,Virginia,44922,93574,54375,581,95.0,95.2,84.1,13726,33684,110355,3276,49.4,52.1,68.2,58648,127258,164730,1294,78.1,78.1,72.8,,,,,,,
47,Washington,5515,12505,30409,2432,9.8,11.0,67.2,1543,5973,60941,10203,6.4,11.3,51.6,7058,18478,91351,4944,8.8,11.1,55.9,,,,,,,
48,West Virginia,29964,61059,21386,350,94.7,94.7,80.3,4439,9929,23289,2346,62.1,64.3,84.1,34403,70987,44675,629,88.7,88.8,82.2,,,,,,,
49,Wisconsin,9596,22094,51617,2336,10.5,11.9,58.7,2150,7575,47679,6294,9.1,14.5,58.1,11746,29669,99296,3347,10.2,12.4,58.4,,,,,,,
50,Wyoming,6259,14303,13791,964,24.1,26.6,75.7,459,1422,3751,2637,15.7,21.9,46.5,6718,15726,17543,1116,23.2,26.1,66.7,,,,,,,
51,U.S. Total,610551,1351173,1799661,1332,20.7,22.4,70.7,170280,526435,3367203,6396,14.1,19.4,56.7,780831,1877608,5166865,2752,18.8,21.5,60.9,,,,,,,
52,Puerto Rico (9),1026,2166,3297,1522,33.0,34.3,92.6,3549,8517,41972,4928,26.4,29.9,85.8,4575,10683,45269,4238,27.6,30.7,86.3,,,,,,,
53,Grand Total,611577,1353339,1802958,1332,20.7,22.4,70.8,173829,534952,3409175,6373,14.2,19.3,57.1,785406,1888291,5212134,2760,18.8,21.5,61.2,,,,,,,
