Institution,Total,Federally financed
All institutions,1864,818
Alliant International U.,144,5
Armstrong State U.,143,125
Baldwin-Wallace U.,128,84
Bemidji State U.,68,43
C. Southern Nevada,111,111
Eastern Mennonite U.,122,74
Fielding Graduate U.,43,0
Gordon C.,135,0
Haskell Indian Nations U.,87,87
Jacksonville U.,138,14
Lincoln U. of the Commonwealth of Pennsylvania,118,13
Nebraska Wesleyan U.,56,18
Ohio Northern U.,98,57
Relay Graduate School of Education,80,80
Saint Francis U.,54,22
"St. Thomas U., Miami Gardens",92,65
"SUNY, C. of Technology, Canton",0,0
Texas A&M U.-San Antonio,103,19
"U. Minnesota, Crookston",140,0
"U. North Texas, Dallas",4,1
Whittier C.,0,0
